,arp_opcode,arp_hw_size,icmp_checksum,icmp_seq_le,icmp_unused,http_content_length,http_response,http_tls_port,tcp_ack,tcp_ack_raw,tcp_checksum,tcp_connection_fin,tcp_connection_rst,tcp_connection_syn,tcp_connection_synack,tcp_flags,tcp_flags_ack,tcp_len,tcp_seq,udp_stream,udp_time_delta,dns_qry_name,dns_qry_qu,dns_qry_type,dns_retransmission,dns_retransmit_request,dns_retransmit_request_in,mqtt_conflag_cleansess,mqtt_conflags,mqtt_hdrflags,mqtt_len,mqtt_msg_decoded_as,mqtt_msgtype,mqtt_proto_len,mqtt_topic_len,mqtt_ver,mbtcp_len,mbtcp_trans_id,mbtcp_unit_id,Attack_label
tcp_checksum,-0.013286418475059004,-0.013979363265558457,-0.33565825568213176,-0.349386358767971,,0.01895037409494926,0.06660985032359631,,0.07040725576186666,0.31450557745606256,1.0,0.0710462494372415,0.09436361909233142,0.11603329156355141,0.05175482421737876,0.41062890241938443,0.3992214855005915,-0.004598955228965537,0.03577027707974085,-0.3296181411487091,-0.040589089995339625,-0.10316607272643293,-0.04301074103075844,,-0.00976770884049264,-0.0032068962270614286,,0.027347704113632385,0.027347704113632385,0.035827115865511405,0.03360726492791326,,0.035827115865511405,0.027347704113632385,0.025349488285402302,0.027347704113632385,,,,-0.12118683002176385
tcp_connection_fin,-0.002689836975099685,-0.0028301237290271606,-0.06795405314276862,-0.07073330921900946,,-0.01652646930889902,-0.05560959432028035,,-0.05960192371825841,0.14562849085807034,0.0710462494372415,1.0,-0.08307191831852823,-0.0986865616128187,-0.04533183409929206,0.13994616916645156,0.18261161391315797,-0.03047969642753564,-0.030609721381361837,-0.06673123124864178,-0.008217266019436256,-0.020885983496326862,-0.008707529554946818,,-0.0019774737978097553,-0.0006492365164509728,,-0.02304874766699003,-0.02304874766699003,0.34295072667772497,-0.029994011004516142,,0.34295072667772497,-0.02304874766699003,-0.023011535225465427,-0.02304874766699003,,,,-0.08673915829493889
tcp_connection_rst,-0.003483164103401977,-0.003664826334230929,-0.0879960833235242,-0.09159503935265491,,-0.021400703903476335,-0.07318803290706132,,-0.07718129161067461,-0.0998677700251314,0.09436361909233142,-0.08307191831852823,1.0,-0.12779268486529932,-0.05870177960141217,0.1165992510774584,0.07767995817752694,-0.039793641307379356,-0.03965158934721203,-0.08641260842675198,-0.010640825556331232,-0.027045991505101393,-0.011275684978632914,,-0.002560700076514387,-0.0008407191029248056,,-0.02984663057472336,-0.02984663057472336,-0.04166731749394903,-0.03884029530975769,,-0.04166731749394903,-0.02984663057472336,-0.02979844288092693,-0.02984663057472336,,,,-0.0011666800601101393
tcp_connection_syn,-0.004137878309008136,-0.004353686747025506,-0.10453629908118353,-0.108811734187294,,-0.02542329498435334,-0.08694484809065121,,0.5954930395940815,-0.2564578829287983,0.11603329156355141,-0.0986865616128187,-0.12779268486529932,1.0,-0.06973568092172784,-0.469950009695279,-0.5404177724410841,-0.03324729580320463,-0.04710546272359684,-0.1026551857504049,-0.012640932196240205,-0.0321297011201029,-0.013395123200403817,,-0.003042022996314028,-0.0009987451744130113,,-0.035456763329498056,-0.035456763329498056,-0.04949932995817548,-0.04614092552249922,,-0.04949932995817548,-0.035456763329498056,-0.03539951801833819,-0.035456763329498056,,,,0.10729109740561082
tcp_connection_synack,-0.0019007411947630916,-0.00199987315507821,-0.04801892060941678,-0.04998284874476685,,-0.011678232290731722,-0.03993825871547636,,-0.042117378340058784,0.1050662544059767,0.05175482421737876,-0.04533183409929206,-0.05870177960141217,-0.06973568092172784,1.0,0.09630329486360571,0.1290403174690789,-0.021715144930636587,-0.021637971639282397,-0.0471548281125332,-0.005806632958077756,-0.014758830959686971,-0.006153071834062154,,-0.0013973582577146522,-0.00045877523559477565,,-0.016287122447904583,-0.016287122447904583,-0.022737598483708744,-0.02119490989239218,,-0.022737598483708744,-0.016287122447904583,-0.016260826720238004,-0.016287122447904583,,,,-0.05966581029475748
tcp_flags,-0.015124559066357263,-0.01591337092211091,-0.38209568091690355,-0.39772303048298285,,0.07778724852055513,0.26585864420718697,,-0.27860933038047253,0.6232224047237678,0.41062890241938443,0.13994616916645156,0.1165992510774584,-0.469950009695279,0.09630329486360571,1.0,0.945717933716412,0.04637589598495474,0.07577048862249017,-0.37521993263306747,-0.0462044824372048,-0.1174388239783415,-0.048961162440324286,,-0.01111904533026183,-0.0036505617745607013,,0.1084864909345364,0.1084864909345364,0.1611855567234211,0.14117665089422707,,0.1611855567234211,0.1084864909345364,0.1083113383727381,0.1084864909345364,,,,-0.16154766309021062
tcp_flags_ack,-0.01472982422891683,-0.015498048937747245,-0.3721233917525378,-0.3873428841861448,,0.04704378035073877,0.16088450921574748,,-0.32035354234760943,0.6653804220810731,0.3992214855005915,0.18261161391315797,0.07767995817752694,-0.5404177724410841,0.1290403174690789,0.945717933716412,1.0,0.023285189048915793,0.0871645206654572,-0.3654270931550774,-0.044998594795531734,-0.1143737961061964,-0.047683328394917394,,-0.010828850123137222,-0.0035552860113252727,,0.0656099135476976,0.0656099135476976,0.09159456347000927,0.08538010382982102,,0.09159456347000927,0.0656099135476976,0.06550398566360424,0.0656099135476976,,,,-0.1776354503900624
tcp_len,-0.0012885029012092509,-0.0013557039587863576,-0.03255178489772279,-0.03388312190832552,,0.023087500640793603,0.07309543924185267,,-0.012308625626460543,0.01968509554909872,-0.004598955228965537,-0.03047969642753564,-0.039793641307379356,-0.03324729580320463,-0.021715144930636587,0.04637589598495474,0.023285189048915793,1.0,0.12226641656673708,-0.03196602093773971,0.4980405234115666,-0.010004887247597584,0.17921200892450997,,-0.000947262138609242,-0.00031100142602027693,,-0.00976509561350525,-0.00976509561350525,-0.014329978111427399,-0.010402360719369612,,-0.014329978111427399,-0.00976509561350525,-0.007292709834100207,-0.00976509561350525,,,,-0.007617646397211396
tcp_seq,-0.0012839237003738813,-0.0013508859326145097,-0.03243609935254025,-0.033762704934486326,,-0.007823913449004134,-0.026791743680511057,,-0.02816870446889581,0.0888799492153801,0.03577027707974085,-0.030609721381361837,-0.03965158934721203,-0.04710546272359684,-0.021637971639282397,0.07577048862249017,0.0871645206654572,0.12226641656673708,1.0,-0.03185241713471806,-0.003922290131771301,-0.009969380845305091,-0.004156311520594433,,-0.0009438956707710179,-0.000309896160375567,,-0.01100171439611034,-0.01100171439611034,-0.015358595557062779,-0.01431677774477562,,-0.015358595557062779,-0.01100171439611034,-0.010983872918115015,-0.01100171439611034,,,,-0.2698614078848911
udp_stream,-0.0027980072443956052,-0.002943935550614737,-0.07068678687208035,-0.07178459184270185,,-0.017191071904596344,-0.058791558536392646,,-0.06199935668387193,-0.28686863181943345,-0.3296181411487091,-0.06673123124864178,-0.08641260842675198,-0.1026551857504049,-0.0471548281125332,-0.37521993263306747,-0.3654270931550774,-0.03196602093773971,-0.03185241713471806,1.0,-0.008322186505579213,-0.015967430114721976,-0.009053975216684515,,-0.0017919185896103581,-0.0006465625959161498,,-0.023975639989890756,-0.023975639989890756,-0.03347113507765336,-0.031200203155810003,,-0.03347113507765336,-0.023975639989890756,-0.023936931071122713,-0.023975639989890756,,,,0.11426356505939211
udp_time_delta,-0.0003445458658755972,-0.0003625154385858586,-0.008704352084001055,-0.009060351797047866,,-0.0021169040096528824,-0.007239576839077304,,-0.007634584247471903,-0.03532492681738073,-0.040589089995339625,-0.008217266019436256,-0.010640825556331232,-0.012640932196240205,-0.005806632958077756,-0.0462044824372048,-0.044998594795531734,0.4980405234115666,-0.003922290131771301,-0.008322186505579213,1.0,-0.0026688516442235468,0.21835403618043406,,0.33834963919750594,0.0018991687354579572,,-0.002952353914302613,-0.002952353914302613,-0.004121626647060584,-0.0038419846958385557,,-0.004121626647060584,-0.002952353914302613,-0.0029475873083688762,-0.002952353914302613,,,,-0.011332609209571229
dns_qry_name,-0.0008757388712236435,-0.0009214124806911955,-0.022124019539182187,0.21994275434442406,,-0.005380575741900235,-0.018400972053687577,,-0.01940497000058879,-0.08978604766739474,-0.10316607272643293,-0.020885983496326862,-0.027045991505101393,-0.0321297011201029,-0.014758830959686971,-0.1174388239783415,-0.1143737961061964,-0.010004887247597584,-0.009969380845305091,-0.015967430114721976,-0.0026688516442235468,1.0,-0.0028317475702336146,,-0.0004459811161949027,-0.00021137218302588173,,-0.007504054874649447,-0.007504054874649447,-0.010476017926755114,-0.009765246586957795,,-0.010476017926755114,-0.007504054874649447,-0.007491939500432319,-0.007504054874649447,,,,0.03575999435275839
dns_qry_qu,-0.00036510237140312843,-0.0003841440557169017,-0.009223676445283413,-0.009600916030271259,,-0.0022432040274025927,-0.0076715088865894334,,-0.008090083467829018,-0.03743250413959108,-0.04301074103075844,-0.008707529554946818,-0.011275684978632914,-0.013395123200403817,-0.006153071834062154,-0.048961162440324286,-0.047683328394917394,0.17921200892450997,-0.004156311520594433,-0.009053975216684515,0.21835403618043406,-0.0028317475702336146,1.0,,0.0067307237881243515,-8.812347883981861e-05,,-0.003128499053656965,-0.003128499053656965,-0.0043675336491294636,-0.004071207529309418,,-0.0043675336491294636,-0.003128499053656965,-0.0031234480595735267,-0.003128499053656965,,,,0.014444753528379832
dns_qry_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dns_retransmission,-8.291449008722869e-05,-8.723884311515286e-05,-0.002094690391221369,-0.0021803612339216486,,-0.0005094300466439435,-0.0017421942374318189,,-0.0018372522285195136,-0.008500895191380165,-0.00976770884049264,-0.0019774737978097553,-0.002560700076514387,-0.003042022996314028,-0.0013973582577146522,-0.01111904533026183,-0.010828850123137222,-0.000947262138609242,-0.0009438956707710179,-0.0017919185896103581,0.33834963919750594,-0.0004459811161949027,0.0067307237881243515,,1.0,-2.001277966132036e-05,,-0.0007104799203999876,-0.0007104799203999876,-0.000991863799910896,-0.0009245683478710067,,-0.000991863799910896,-0.0007104799203999876,-0.0007093328432192835,-0.0007104799203999876,,,,-0.01799932273069998
dns_retransmit_request,-2.722216333140053e-05,-2.8641918121002238e-05,-0.0006877206131106121,-0.0007158477314257914,,-0.00016725409420083982,-0.0005719904450536795,,-0.0006031995154661256,-0.00279098089030533,-0.0032068962270614286,-0.0006492365164509728,-0.0008407191029248056,-0.0009987451744130113,-0.00045877523559477565,-0.0036505617745607013,-0.0035552860113252727,-0.00031100142602027693,-0.000309896160375567,-0.0006465625959161498,0.0018991687354579572,-0.00021137218302588173,-8.812347883981861e-05,,-2.001277966132036e-05,1.0,,-0.00023326200784038273,-0.00023326200784038273,-0.00032564487021836513,-0.00030355068879166203,,-0.00032564487021836513,-0.00023326200784038273,-0.0002328854039158589,-0.00023326200784038273,,,,-0.005909467726500274
dns_retransmit_request_in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mqtt_conflag_cleansess,-0.0009664224942320216,-0.001016825650963573,-0.024414983561959445,-0.025413533144768338,,-0.005937739661625019,-0.0203064108409059,,-0.021414373476019457,0.05568434020253085,0.027347704113632385,-0.02304874766699003,-0.02984663057472336,-0.035456763329498056,-0.016287122447904583,0.1084864909345364,0.0656099135476976,-0.00976509561350525,-0.01100171439611034,-0.023975639989890756,-0.002952353914302613,-0.007504054874649447,-0.003128499053656965,,-0.0007104799203999876,-0.00023326200784038273,,1.0,1.0,0.057553428909313385,0.28665428501941165,,0.057553428909313385,1.0,-0.008267737217746533,1.0,,,,-0.20979385327690903
mqtt_conflags,-0.0009664224942320216,-0.001016825650963573,-0.024414983561959445,-0.025413533144768338,,-0.005937739661625019,-0.0203064108409059,,-0.021414373476019457,0.05568434020253085,0.027347704113632385,-0.02304874766699003,-0.02984663057472336,-0.035456763329498056,-0.016287122447904583,0.1084864909345364,0.0656099135476976,-0.00976509561350525,-0.01100171439611034,-0.023975639989890756,-0.002952353914302613,-0.007504054874649447,-0.003128499053656965,,-0.0007104799203999876,-0.00023326200784038273,,1.0,1.0,0.057553428909313385,0.28665428501941165,,0.057553428909313385,1.0,-0.008267737217746533,1.0,,,,-0.20979385327690903
mqtt_hdrflags,-0.001349171820237631,-0.0014195370270898094,-0.03408447962455235,-0.035478502390244124,,-0.008289367305898566,-0.02834871646741668,,-0.029895483124540254,0.07038318671155112,0.035827115865511405,0.34295072667772497,-0.04166731749394903,-0.04949932995817548,-0.022737598483708744,0.1611855567234211,0.09159456347000927,-0.014329978111427399,-0.015358595557062779,-0.03347113507765336,-0.004121626647060584,-0.010476017926755114,-0.0043675336491294636,,-0.000991863799910896,-0.00032564487021836513,,0.057553428909313385,0.057553428909313385,1.0,0.21049703037259185,,1.0,0.057553428909313385,0.19546583459321712,0.057553428909313385,,,,-0.2928822089610034
mqtt_len,-0.001257633922059899,-0.0013232250274644516,-0.031771933825336496,-0.03307137566955497,,-0.0077269546843014274,-0.026425327702148674,,-0.027867150651330247,0.06409763863812325,0.03360726492791326,-0.029994011004516142,-0.03884029530975769,-0.04614092552249922,-0.02119490989239218,0.14117665089422707,0.08538010382982102,-0.010402360719369612,-0.01431677774477562,-0.031200203155810003,-0.0038419846958385557,-0.009765246586957795,-0.004071207529309418,,-0.0009245683478710067,-0.00030355068879166203,,0.28665428501941165,0.28665428501941165,0.21049703037259185,1.0,,0.21049703037259185,0.2866542850194117,0.9543301656270133,0.2866542850194117,,,,-0.2730108912979926
mqtt_msg_decoded_as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mqtt_msgtype,-0.001349171820237631,-0.0014195370270898094,-0.03408447962455235,-0.035478502390244124,,-0.008289367305898566,-0.02834871646741668,,-0.029895483124540254,0.07038318671155112,0.035827115865511405,0.34295072667772497,-0.04166731749394903,-0.04949932995817548,-0.022737598483708744,0.1611855567234211,0.09159456347000927,-0.014329978111427399,-0.015358595557062779,-0.03347113507765336,-0.004121626647060584,-0.010476017926755114,-0.0043675336491294636,,-0.000991863799910896,-0.00032564487021836513,,0.057553428909313385,0.057553428909313385,1.0,0.21049703037259185,,1.0,0.057553428909313385,0.19546583459321712,0.057553428909313385,,,,-0.2928822089610034
mqtt_proto_len,-0.0009664224942320216,-0.001016825650963573,-0.024414983561959445,-0.025413533144768338,,-0.005937739661625019,-0.0203064108409059,,-0.021414373476019457,0.05568434020253085,0.027347704113632385,-0.02304874766699003,-0.02984663057472336,-0.035456763329498056,-0.016287122447904583,0.1084864909345364,0.0656099135476976,-0.00976509561350525,-0.01100171439611034,-0.023975639989890756,-0.002952353914302613,-0.007504054874649447,-0.003128499053656965,,-0.0007104799203999876,-0.00023326200784038273,,1.0,1.0,0.057553428909313385,0.2866542850194117,,0.057553428909313385,1.0,-0.008267737217746533,1.0,,,,-0.20979385327690903
mqtt_topic_len,-0.0009648621951183765,-0.001015183975432022,-0.024375565318450067,-0.025372502732628928,,-0.005928153119521307,-0.020273625930553204,,-0.02137979859655234,0.04715788107366718,0.025349488285402302,-0.023011535225465427,-0.02979844288092693,-0.03539951801833819,-0.016260826720238004,0.1083113383727381,0.06550398566360424,-0.007292709834100207,-0.010983872918115015,-0.023936931071122713,-0.0029475873083688762,-0.007491939500432319,-0.0031234480595735267,,-0.0007093328432192835,-0.0002328854039158589,,-0.008267737217746533,-0.008267737217746533,0.19546583459321712,0.9543301656270133,,0.19546583459321712,-0.008267737217746533,1.0,-0.008267737217746533,,,,-0.20945513893068404
mqtt_ver,-0.0009664224942320216,-0.001016825650963573,-0.024414983561959445,-0.025413533144768338,,-0.005937739661625019,-0.0203064108409059,,-0.021414373476019457,0.05568434020253085,0.027347704113632385,-0.02304874766699003,-0.02984663057472336,-0.035456763329498056,-0.016287122447904583,0.1084864909345364,0.0656099135476976,-0.00976509561350525,-0.01100171439611034,-0.023975639989890756,-0.002952353914302613,-0.007504054874649447,-0.003128499053656965,,-0.0007104799203999876,-0.00023326200784038273,,1.0,1.0,0.057553428909313385,0.2866542850194117,,0.057553428909313385,1.0,-0.008267737217746533,1.0,,,,-0.20979385327690903
mbtcp_len,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mbtcp_trans_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mbtcp_unit_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack_label,0.0015972323776953174,0.0016249867857962897,0.11637606717549186,0.12113573752432397,,0.02830273417871557,0.09679221065691677,,0.09467140231640489,-0.13448499378788362,-0.12118683002176385,-0.08673915829493889,-0.0011666800601101393,0.10729109740561082,-0.05966581029475748,-0.16154766309021062,-0.1776354503900624,-0.007617646397211396,-0.2698614078848911,0.11426356505939211,-0.011332609209571229,0.03575999435275839,0.014444753528379832,,-0.01799932273069998,-0.005909467726500274,,-0.20979385327690903,-0.20979385327690903,-0.2928822089610034,-0.2730108912979926,,-0.2928822089610034,-0.20979385327690903,-0.20945513893068404,-0.20979385327690903,,,,1.0
